#Position (bp)	mapping quality
7.7818072E7	40.96118130022254
7.8043959E7	41.54354682471548
7.8269846E7	42.0
7.8495733E7	41.771926616242155
7.872162E7	0.0
7.8947507E7	41.767129455909945
7.9173394E7	41.83184075710766
7.9399281E7	42.0
7.9625168E7	41.88604928093799
7.9851055E7	41.91381167851756
8.0076942E7	25.0
8.0302829E7	42.0
8.0528716E7	41.98811485642946
8.0754603E7	41.99017730357864
8.098049E7	41.803950326720695
8.1206377E7	41.787807092032445
8.1432264E7	41.21964234356383
8.1658151E7	41.988775974518425
8.1884038E7	41.77806239966497
8.2109925E7	41.94035260482846
8.2335812E7	42.0
8.2561699E7	38.80512610955981
8.2787586E7	41.4241347342398
8.3013473E7	41.949010518809054
8.323936E7	41.998919818412716
8.3465247E7	41.919124133040455
8.3691134E7	41.71439431093673
8.3917021E7	41.82162438774764
8.4142908E7	41.71642194264377
8.4368795E7	41.876395427034296
8.4594682E7	41.883770105040576
8.4820569E7	41.913424913621874
8.5046456E7	41.88644631937456
8.5272343E7	41.754374380983826
8.549823E7	0.0
8.5724117E7	41.87223324526323
8.5950004E7	41.66748138647565
8.6175891E7	42.0
8.6401778E7	41.50213318493786
8.6627665E7	40.86321265987427
8.6853552E7	41.937402190923315
8.7079439E7	41.94472084024323
8.7305326E7	41.921642075323156
8.7531213E7	41.623765548775
8.77571E7	41.85286833664894
8.7982987E7	27.56698284130875
8.8208874E7	39.53195219123506
8.8434761E7	41.81481481481482
8.8660648E7	41.9176015889205
8.8886535E7	41.62160435501536
8.9112422E7	23.731765857663945
8.9338309E7	41.87315490469957
8.9564196E7	41.88375859049995
8.9790083E7	41.873457734449715
9.001597E7	41.69875327805221
9.02418335E7	41.39657099062355
